df_merged_index,C4orf3,ANXA13,primary_or_metastasis
121,-0.06814932546904,-0.055456306980616,Primary
122,0.072664348216812,-0.041681535630394,
123,0.001865882905604,0.127938259892539,Primary
124,0.059234347914597,-0.060039361885695,Primary
125,0.304683211306664,0.034163745464101,Metastasis
126,0.082780955310414,-0.065834807058874,Metastasis
127,0.031009708033313,-0.092702237951532,
128,-0.022453009599391,-0.103341405267966,Metastasis
129,0.060059787961982,0.263450798225597,Metastasis
130,0.003744633473158,-0.134107967163406,Primary
131,0.076238439130325,0.141727551181399,Metastasis
132,0.020258576339378,0.06091140983525,Primary
133,0.071767105586078,-0.119839407207293,Primary
134,0.174477915122606,0.0453437938421,Primary
135,0.044937816181409,-0.005672396043097,kidney
136,-0.044079705342913,-0.013791738262379,Primary
137,-0.167071501080504,0.098778214008685,
138,0.101545810908424,-0.049615001377968,
